1,SUV,2017 Ford Edge,http://images.nadaguides.com/ChromeImageGallery/Expanded/Transparent/320/2017INS170001_320/2017INS170001_320_01.png
2,Truck,2017 Ford F-150,http://images.nadaguides.com/j/25526.jpg
3,Sedan,2017 Acura TLX,http://images.nadaguides.com/ChromeImageGallery/Expanded/Transparent/320/2017ACC180009_320/2017ACC180009_320_01.png
4,Van,2017 Kia Sedona,http://images.nadaguides.com/ChromeImageGallery/Expanded/Transparent/320/2017TOV110004_320/2017TOV110004_320_01.png
5,Coupe,2018 Audi TT RS,http://images.nadaguides.com/j/26299.jpg
6,Wagon,2017 Hyundai Veloster,http://images.nadaguides.com/ChromeImageGallery/Expanded/Transparent/320/2017HYC160001_320/2017HYC160001_320_01.png
7,Convertible,2017 Lamborghini Aventador,http://images.nadaguides.com/j/25947.jpg
8,Sports Car,2016 Mazda MX-5 Miata,http://images.nadaguides.com/ChromeImageGallery/Expanded/Transparent/320/2016MAC030003_320/2016MAC030003_320_01.png
9,Diesel,2017 Ford Transit Van,http://images.nadaguides.com/Models/640x480/2017-Ford-TransitVan-Base.png
10,Crossover,2015 Chevrolet Trax,http://images.nadaguides.com/Models/640x480/2015-Chevrolet-Trax-LS.png
11,Luxury Car,2016 BMW 4,http://images.nadaguides.com/Models/640x480/2016-BMW-4Series-428i.png
12,Hybrid/Electric,2015 Toyota Prius,http://images.nadaguides.com/Models/640x480/2015-Toyota-Priusc-Four.png
13,Hatchback,2016 Honda CR-Z,http://images.nadaguides.com/ChromeImageGallery/Expanded/Transparent/640/2016HOC110001_640/2016HOC110001_640_01.png
